iter	RMSE
0	14.62255619
1	14.04065172
2	13.46949537
3	12.92034411
4	12.42301335
5	11.95240266
6	11.51844157
7	11.10866066
8	10.72581565
9	10.36101993
10	9.999410154
11	9.662343037
12	9.351260049
13	9.080419401
14	8.791765393
15	8.521332559
16	8.274008144
17	8.050984939
18	7.837679337
19	7.640346592
20	7.452468558
21	7.285456718
22	7.11419931
23	6.965951453
24	6.814552928
25	6.69552955
26	6.567534896
27	6.465718777
28	6.347466678
29	6.246757477
30	6.156516811
31	6.050164881
32	5.952202047
33	5.873491653
34	5.77930357
35	5.714663808
36	5.644069387
37	5.576549294
38	5.515434757
39	5.462528443
40	5.407605269
41	5.348425839
42	5.305091503
43	5.256652347
44	5.212448947
45	5.191958397
46	5.152252332
47	5.127861172
48	5.100397141
49	5.066642756
50	5.044518897
51	5.017055389
52	4.976770498
53	4.952253313
54	4.923181469
55	4.889559111
56	4.860017438
57	4.827410937
58	4.808093077
59	4.778903901
60	4.748527309
61	4.724262405
62	4.702875177
63	4.677487032
64	4.652515242
65	4.628639251
66	4.614122352
67	4.600531191
68	4.589522976
69	4.573910884
70	4.553864764
71	4.532598403
72	4.521574683
73	4.506583324
74	4.490957286
75	4.475690824
76	4.46068719
77	4.453399202
78	4.443125151
79	4.431847584
80	4.430340105
81	4.420972274
82	4.410193911
83	4.396306568
84	4.380033157
85	4.363166623
86	4.353063299
87	4.346576002
88	4.33220478
89	4.318523198
90	4.303520054
91	4.290256971
92	4.284522401
93	4.273995679
94	4.271347166
95	4.265410549
96	4.259786128
97	4.255479226
98	4.244964132
99	4.231508913
100	4.229032098
101	4.225300051
102	4.217688754
103	4.211922646
104	4.206724511
105	4.201392265
106	4.198203974
107	4.18848275
108	4.17648719
109	4.163492376
110	4.152542304
111	4.147921169
112	4.139441397
113	4.135957013
114	4.131653678
115	4.122382529
116	4.115727244
117	4.109725429
118	4.097873328
119	4.090705205
120	4.085899767
121	4.080346146
122	4.071747572
123	4.064894487
124	4.058346492
125	4.052276929
126	4.045174428
127	4.037762946
128	4.028734129
129	4.018620079
130	4.013232147
131	4.007286308
132	3.996847512
133	3.992403295
134	3.988023545
135	3.983438898
136	3.978511421
137	3.976014903
138	3.967592396
139	3.961674864
140	3.959099314
141	3.954017522
142	3.945925926
143	3.943170565
144	3.938086974
145	3.933408405
146	3.931316685
147	3.92771564
148	3.915086388
149	3.910405804
150	3.902441156
151	3.895617768
152	3.890759271
153	3.88680178
154	3.881071843
155	3.87763561
156	3.875404843
157	3.866217841
158	3.86265719
159	3.859042707
160	3.856456101
161	3.849697019
162	3.844199964
163	3.840883641
164	3.831566747
165	3.828361669
166	3.825256583
167	3.821488157
168	3.815367919
169	3.8130774
170	3.808410863
171	3.800730772
172	3.798258663
173	3.794168052
174	3.790965483
175	3.78635438
176	3.782414927
177	3.775706277
178	3.770716992
179	3.765478236
180	3.76039734
181	3.754284542
182	3.75123594
183	3.748868691
184	3.743784539
185	3.740125399
186	3.73749583
187	3.734024622
188	3.727159907
189	3.724558648
190	3.72178898
191	3.715497523
192	3.71030989
193	3.706193169
194	3.698990619
195	3.692408015
196	3.687365499
197	3.682912504
198	3.679089926
199	3.676489103
200	3.674554856
201	3.669367716
202	3.666395196
203	3.661102217
204	3.656435541
205	3.652551923
206	3.648980546
207	3.644726549
208	3.640872246
209	3.63691367
210	3.634649973
211	3.629949821
212	3.626433224
213	3.62282012
214	3.617268312
215	3.612089704
216	3.607887473
217	3.604199357
218	3.59900495
219	3.595487937
220	3.592114828
221	3.589497753
222	3.586382877
223	3.583439601
224	3.580250799
225	3.577788587
226	3.574547704
227	3.572328547
228	3.570326905
229	3.568403389
230	3.565207612
231	3.561571949
232	3.557176203
233	3.554222087
234	3.55057532
235	3.546309577
236	3.541322585
237	3.538940236
238	3.535608233
239	3.533338844
240	3.53118169
241	3.528542775
242	3.526744779
243	3.522407192
244	3.519416823
245	3.515546709
246	3.512826608
247	3.510562985
248	3.50761475
249	3.505120314
250	3.501320659
251	3.498870762
252	3.494949127
253	3.492137175
254	3.488431918
255	3.484816475
256	3.481479956
257	3.478028346
258	3.47439777
259	3.469498245
260	3.465865301
261	3.46311984
262	3.460154723
263	3.457048136
264	3.455636337
265	3.453132424
266	3.451259835
267	3.449923563
268	3.44738006
269	3.444700796
270	3.442760614
271	3.440383985
272	3.438821998
273	3.435491851
274	3.433945995
275	3.430944354
276	3.428904179
277	3.426364351
278	3.42295545
279	3.421637062
280	3.418494383
281	3.414478406
282	3.411302959
283	3.405867634
284	3.402752965
285	3.399867073
286	3.398299926
287	3.395896169
288	3.394496539
289	3.392073967
290	3.38996754
291	3.387115921
292	3.382117078
293	3.379252545
294	3.378045439
295	3.376641598
296	3.371641803
297	3.37022876
298	3.368248202
299	3.365810692
300	3.363588441
301	3.360345467
302	3.357213805
303	3.354708488
304	3.351706893
305	3.349015005
306	3.345725716
307	3.342804242
308	3.341453074
309	3.338684702
310	3.336076619
311	3.333125239
312	3.331871548
313	3.326552937
314	3.324591107
315	3.323328681
316	3.320994053
317	3.319131414
318	3.316572735
319	3.314195695
320	3.31311345
321	3.310336584
322	3.305876385
323	3.303572201
324	3.301490274
325	3.298862797
326	3.29616202
327	3.294711406
328	3.291046697
329	3.289807289
330	3.287274061
331	3.284240023
332	3.281956218
333	3.280540769
334	3.278196653
335	3.275773834
336	3.273449802
337	3.271355285
338	3.268981799
339	3.267072784
