iter	Passed	Remaining
0	1	1453
1	1	944
2	2	770
3	2	694
4	3	648
5	3	608
6	4	584
7	4	558
8	4	526
9	5	511
10	5	501
11	6	496
12	6	487
13	6	470
14	7	465
15	7	461
16	7	456
17	8	451
18	8	449
19	9	450
20	9	456
21	10	462
22	11	479
23	12	489
24	12	491
25	13	490
26	13	486
27	13	483
28	14	481
29	14	477
30	15	475
31	15	471
32	16	469
33	16	466
34	16	463
35	17	462
36	17	460
37	18	457
38	18	455
39	18	452
40	19	450
41	19	447
42	20	445
43	20	443
44	20	441
45	21	438
46	21	436
47	21	432
48	22	431
49	22	429
50	22	427
51	23	426
52	23	425
53	24	424
54	24	424
55	25	428
56	25	427
57	26	426
58	26	425
59	27	423
60	27	422
61	27	421
62	28	419
63	28	418
64	29	417
65	29	415
66	29	414
67	30	412
68	30	411
69	30	410
70	31	409
71	31	408
72	32	407
73	32	406
74	32	406
75	33	404
76	33	403
77	34	403
78	34	403
79	34	402
80	35	399
81	35	398
82	35	396
83	36	395
84	36	394
85	37	394
86	37	392
87	37	392
88	38	391
89	38	390
90	39	389
91	39	389
92	39	388
93	40	388
94	40	387
95	41	388
96	41	388
97	42	388
98	42	387
99	42	386
100	43	386
101	43	385
102	44	384
103	44	384
104	44	383
105	45	382
106	45	381
107	46	381
108	46	380
109	46	379
110	47	378
111	47	378
112	48	377
113	48	377
114	48	376
115	49	376
116	49	375
117	50	375
118	50	374
119	50	373
120	51	372
121	51	371
122	52	371
123	52	370
124	52	369
125	53	369
126	53	368
127	54	368
128	54	367
129	54	366
130	55	366
131	55	365
132	56	365
133	56	365
134	56	365
135	57	365
136	57	364
137	58	363
138	58	363
139	59	362
140	59	362
141	59	361
142	60	360
143	60	360
144	60	359
145	61	358
146	61	357
147	62	357
148	62	356
149	62	356
150	63	355
151	63	355
152	64	354
153	64	354
154	64	353
155	65	353
156	65	352
157	66	352
158	66	351
159	66	351
160	67	350
161	67	350
162	68	349
163	68	349
164	68	348
165	69	347
166	69	347
167	70	346
168	70	346
169	70	345
170	71	345
171	71	345
172	72	344
173	72	344
174	72	343
175	73	344
176	73	343
177	74	343
178	74	342
179	75	342
180	75	341
181	75	341
182	76	340
183	76	340
184	77	339
185	77	339
186	77	338
187	78	338
188	78	337
189	79	337
190	79	336
191	79	335
192	80	335
193	80	335
194	81	334
195	81	334
196	81	333
197	82	333
198	82	332
199	83	332
200	83	331
201	83	331
202	84	331
203	84	330
204	85	329
205	85	329
206	85	329
207	86	328
208	86	328
209	87	327
210	87	327
211	87	326
212	88	326
213	88	325
214	89	325
215	89	325
216	89	324
217	90	324
218	90	323
219	91	322
220	91	322
221	91	321
222	92	321
223	92	320
224	92	320
225	93	319
226	93	319
227	94	318
228	94	318
229	95	318
230	95	317
231	95	317
232	96	316
233	96	316
234	97	316
235	97	315
236	97	315
237	98	314
238	98	314
239	99	313
240	99	313
241	99	312
242	100	312
243	100	311
244	101	311
245	101	311
246	101	310
247	102	310
248	102	309
249	103	309
250	103	308
251	103	308
252	104	307
253	104	307
254	105	306
255	105	306
256	105	306
257	106	305
258	106	305
259	107	304
260	107	304
261	107	303
262	108	303
263	108	302
264	109	302
265	109	302
266	109	301
267	110	301
268	110	300
269	110	300
270	111	299
271	111	299
272	112	298
273	112	298
274	112	297
275	113	297
276	113	297
277	114	296
278	114	296
279	115	295
280	115	295
281	115	294
282	116	294
283	116	294
284	117	293
285	117	293
286	117	292
287	118	292
288	118	291
289	118	291
290	119	290
291	119	290
292	120	289
293	120	289
294	120	289
295	121	288
296	121	288
297	122	287
298	122	287
299	122	286
300	123	286
301	123	286
302	124	285
303	124	285
304	124	284
305	125	284
306	125	283
307	126	283
308	126	282
309	126	282
310	127	281
311	127	281
312	128	281
313	128	280
314	128	280
315	129	279
316	129	279
317	130	279
318	130	278
319	130	278
320	131	277
321	131	277
322	132	277
323	132	276
324	132	276
325	133	275
326	133	275
327	134	274
328	134	274
329	134	273
330	135	273
331	135	273
332	136	272
333	136	272
334	136	271
335	137	271
336	137	270
337	138	270
338	138	270
339	138	269
340	139	269
341	139	268
342	140	268
343	140	268
344	140	267
345	141	267
346	141	266
347	142	266
348	142	265
349	142	265
350	143	264
351	143	264
352	144	264
353	144	263
354	144	263
355	145	262
356	145	262
357	146	261
358	146	261
359	146	261
360	147	260
361	147	260
362	148	259
363	148	259
364	148	259
365	149	258
366	149	258
367	150	257
368	150	257
369	150	257
370	151	256
371	151	256
372	152	255
373	152	255
374	153	255
375	153	254
376	153	254
377	154	253
378	154	253
379	155	253
380	155	252
381	155	252
382	156	251
383	156	251
384	157	250
385	157	250
386	157	250
387	158	249
388	158	249
