iter	RMSE
0	34.86532261
1	33.2827336
2	31.8081525
3	30.40744782
4	29.08258705
5	27.73894736
6	26.46835032
7	25.29699682
8	24.09313075
9	23.01828078
10	21.9947668
11	20.97476692
12	19.99680693
13	19.16165217
14	18.35394017
15	17.53560716
16	16.81079926
17	16.15316076
18	15.53441826
19	14.935574
20	14.41874989
21	13.91443031
22	13.38833486
23	12.81862496
24	12.34158824
25	11.92110631
26	11.45609754
27	11.08930625
28	10.70669644
29	10.3569692
30	9.997587288
31	9.703755029
32	9.399723856
33	9.118001235
34	8.77038004
35	8.509882386
36	8.249463061
37	7.969081062
38	7.750708932
39	7.56320499
40	7.36369861
41	7.128376112
42	6.961000743
43	6.766510524
44	6.600372662
45	6.404170937
46	6.233893933
47	6.091292411
48	5.973631027
49	5.84611791
50	5.735736473
51	5.616433706
52	5.526405821
53	5.411091834
54	5.281493394
55	5.172201492
56	5.072831697
57	4.990416071
58	4.915372283
59	4.840021388
60	4.766924537
61	4.69766564
62	4.636732015
63	4.57462984
64	4.519864536
65	4.469089589
66	4.41399809
67	4.371402461
68	4.321291138
69	4.263889745
70	4.204642329
71	4.161917001
72	4.107106392
73	4.059572982
74	4.004675516
75	3.954892644
76	3.901947991
77	3.846422928
78	3.815753971
79	3.784411677
80	3.744394084
81	3.703053495
82	3.670658196
83	3.629542823
84	3.593501286
85	3.550385352
86	3.521787379
87	3.486359663
88	3.455586364
89	3.43502843
90	3.39123434
91	3.357407299
92	3.324567172
93	3.289420891
94	3.265553851
95	3.231893561
96	3.208116505
97	3.173431869
98	3.140039987
99	3.11599699
100	3.094513594
101	3.073315739
102	3.048353498
103	3.021671918
104	2.992836717
105	2.971602971
106	2.95437955
107	2.933393298
108	2.903444915
109	2.893622518
110	2.878799757
111	2.861926468
112	2.833955023
113	2.816489289
114	2.799157594
115	2.788883557
116	2.761795425
117	2.748210879
118	2.733616742
119	2.719281454
120	2.704211232
121	2.68341396
122	2.668083511
123	2.656287556
124	2.634026373
125	2.621612651
126	2.596338029
127	2.574204572
128	2.560400073
129	2.547786212
130	2.536946114
131	2.522032765
132	2.509487729
133	2.49822651
134	2.488869892
135	2.470751316
136	2.448522608
137	2.433410833
138	2.416779557
139	2.406978747
140	2.390402023
141	2.380031761
142	2.363634519
143	2.355705322
144	2.334944122
145	2.322847605
146	2.299914908
147	2.293048228
148	2.282436964
149	2.272000119
150	2.265495639
151	2.260161078
152	2.245974798
153	2.231322251
154	2.212847453
155	2.201486369
156	2.191449345
157	2.181521635
158	2.17140578
159	2.164248554
160	2.151040446
161	2.141032517
162	2.131034639
163	2.122032089
164	2.118288967
165	2.105763727
166	2.096933393
167	2.083416154
168	2.072287106
169	2.064874278
170	2.058969647
171	2.05032731
172	2.040766707
173	2.032851892
174	2.019127474
175	2.008139683
176	1.99796434
177	1.984616238
178	1.972769529
179	1.960675779
180	1.956505264
181	1.952034635
182	1.944842692
183	1.934694824
184	1.93048636
185	1.922560003
186	1.91354518
187	1.905400835
188	1.898910733
189	1.888486843
190	1.882312571
191	1.877915029
192	1.868317679
193	1.861136153
194	1.854894284
195	1.845763184
196	1.837845114
197	1.82713763
198	1.823589194
199	1.817189822
200	1.811120258
201	1.803995387
202	1.797481923
203	1.793684602
204	1.788415526
205	1.778680492
206	1.775534326
207	1.773071614
208	1.764278055
209	1.758666818
210	1.753527298
211	1.745561267
212	1.740781071
213	1.733765439
214	1.728457415
215	1.722169864
216	1.719481387
217	1.713582517
218	1.708115642
219	1.704838233
220	1.697933011
221	1.694851212
222	1.689151599
223	1.686349876
224	1.683648951
225	1.680727157
226	1.673641167
227	1.669721603
228	1.663498035
229	1.65779973
230	1.655774359
231	1.653906906
232	1.648891223
233	1.644691327
234	1.639972402
235	1.635009057
236	1.629963023
237	1.62463664
238	1.621536451
239	1.617740602
240	1.613538615
241	1.61143149
242	1.607499483
243	1.605406716
244	1.601419037
245	1.597115047
246	1.593006661
247	1.588882044
248	1.584734792
249	1.580000338
250	1.575820363
251	1.573676739
252	1.570112403
253	1.566645587
254	1.562103729
255	1.560221179
256	1.556147077
257	1.553351164
258	1.551769714
259	1.549212749
260	1.546055737
261	1.544402269
262	1.540719568
263	1.53763455
264	1.534921063
265	1.531882649
266	1.528821955
267	1.525236865
268	1.522421427
269	1.518999565
270	1.51593454
271	1.514583907
272	1.510480522
273	1.507417196
274	1.504377155
275	1.500176908
276	1.497348569
277	1.494639966
278	1.493033956
279	1.490497472
280	1.487478604
281	1.486055977
282	1.482322649
283	1.47953728
284	1.477063057
285	1.474833808
286	1.473153219
287	1.470263614
288	1.468975095
289	1.466282311
290	1.463592605
291	1.461804887
292	1.460767034
293	1.457978136
294	1.45607703
295	1.455139907
296	1.452577251
297	1.450681139
298	1.448516911
299	1.44590674
300	1.443456591
301	1.441176647
302	1.439399319
303	1.437674122
304	1.435577142
305	1.433561332
306	1.431151533
307	1.430308536
308	1.429386698
309	1.42714227
310	1.425586543
311	1.423519579
312	1.421980529
313	1.419935259
314	1.418976276
315	1.417182435
316	1.41541197
317	1.413604896
318	1.411690442
319	1.40908938
320	1.406911727
321	1.406269396
322	1.404292231
323	1.403725915
324	1.401833607
325	1.400363738
326	1.398801021
327	1.398068754
328	1.396506496
329	1.394921673
