iter	Passed	Remaining
0	0	770
1	1	712
2	2	716
3	2	712
4	3	716
5	5	837
6	5	817
7	6	798
8	7	785
9	7	787
10	8	783
11	9	761
12	9	752
13	10	750
14	11	733
15	11	718
16	12	708
17	12	696
18	13	686
19	13	675
20	14	669
21	14	661
22	15	652
23	15	646
24	16	641
25	16	635
26	17	630
27	18	626
28	18	622
29	19	617
30	19	616
31	20	613
32	20	609
33	21	607
34	21	604
35	22	600
36	22	598
37	23	594
38	24	591
39	24	589
40	25	586
41	25	583
42	26	581
43	26	578
44	27	576
45	27	573
46	28	572
47	28	570
48	29	568
49	29	566
50	30	564
51	30	562
52	31	560
53	31	556
54	32	555
55	32	553
56	33	552
57	33	550
58	34	548
59	34	547
60	35	545
61	36	545
62	36	543
63	37	542
64	37	541
65	38	540
66	38	536
67	39	536
68	39	534
69	40	533
70	40	532
71	41	531
72	41	530
73	42	528
74	42	527
75	43	527
76	43	525
77	44	526
78	45	524
79	45	524
80	46	523
81	46	521
82	47	519
83	47	519
84	48	518
85	48	515
86	49	514
87	49	514
88	50	513
89	50	512
90	51	511
91	51	510
92	52	510
93	52	509
94	53	508
95	53	508
96	54	507
97	55	507
98	55	506
99	56	505
100	56	504
101	57	503
102	57	502
103	58	501
104	58	500
105	59	499
106	59	498
107	60	498
108	61	499
109	61	498
110	62	497
111	63	499
112	64	502
113	64	503
114	65	505
115	66	507
116	67	506
117	67	505
118	68	504
119	68	504
120	69	504
121	69	503
122	70	502
123	70	501
124	71	500
125	72	500
126	72	499
127	73	498
128	73	498
129	74	497
130	75	499
131	76	500
132	76	499
133	77	499
134	78	501
135	79	502
136	80	504
137	80	503
138	81	502
139	81	501
140	82	500
141	82	499
142	83	499
143	83	498
144	84	497
145	84	497
146	85	496
147	86	495
148	86	495
149	87	494
150	87	493
151	88	492
152	88	491
153	89	491
154	89	490
155	90	491
156	91	491
157	92	490
158	92	490
159	93	489
160	93	488
161	94	488
162	95	488
163	95	487
164	96	486
165	96	485
166	97	484
167	97	484
168	98	483
169	98	482
170	99	481
171	99	481
172	100	480
173	101	479
174	101	479
175	102	478
176	102	477
177	103	476
178	103	475
179	104	475
180	104	474
181	105	473
182	105	472
183	106	471
184	106	470
185	107	470
186	107	469
187	108	468
188	109	467
189	109	467
190	110	466
191	110	465
192	111	465
193	111	464
194	112	463
195	112	462
196	113	462
197	113	461
198	114	460
199	114	459
200	115	459
201	115	458
202	116	457
203	117	456
204	117	455
205	118	455
206	118	454
207	119	453
208	119	453
209	120	452
210	121	453
211	122	453
212	123	454
213	123	455
214	124	455
215	125	455
216	126	454
217	126	454
218	127	453
219	127	452
220	128	452
221	128	451
222	129	450
223	130	450
224	130	450
225	131	451
226	132	451
227	133	452
228	134	452
229	134	451
230	135	450
231	136	450
232	136	449
233	137	448
234	137	448
235	138	447
236	138	446
237	139	445
238	139	444
239	140	444
240	140	443
241	141	442
242	141	441
243	142	441
244	142	440
245	143	439
246	143	438
247	144	437
248	144	437
249	145	436
250	145	435
251	146	434
252	147	434
253	147	433
254	148	432
255	148	431
256	149	431
257	149	430
258	150	430
259	150	429
260	151	428
261	151	427
262	152	427
263	152	426
264	153	425
265	153	424
266	154	424
267	155	423
268	155	422
269	156	422
270	156	421
271	157	420
272	157	420
273	158	419
274	158	418
275	159	417
276	159	417
277	160	416
278	160	415
279	161	415
280	161	414
281	162	413
282	163	413
283	164	414
284	165	414
285	165	414
286	166	413
287	166	412
288	167	412
289	168	411
290	168	410
291	169	410
292	169	409
293	170	408
294	170	408
295	171	407
296	171	406
297	172	406
298	172	405
299	173	404
300	173	404
301	174	403
302	175	402
303	175	402
304	176	401
305	176	400
306	177	400
307	177	399
308	178	398
309	178	398
310	179	397
311	180	396
312	180	396
313	181	396
314	181	395
315	182	394
316	183	394
317	183	394
318	184	393
319	185	393
320	185	393
321	186	393
322	187	392
323	188	392
324	189	393
325	189	392
326	190	392
327	191	391
328	191	390
329	192	390
330	192	389
331	193	388
332	193	388
333	194	387
334	194	386
335	195	386
336	195	385
337	196	384
338	197	384
339	197	383
340	198	382
341	198	381
342	199	381
343	199	380
344	200	379
345	200	379
346	201	378
347	201	377
348	202	377
349	202	376
350	203	375
351	203	374
352	204	374
353	204	373
354	205	372
355	205	372
356	206	371
357	206	370
358	207	370
359	207	369
360	208	368
361	208	368
362	209	367
363	209	366
364	210	366
365	211	365
366	211	364
367	212	364
368	212	363
369	213	362
370	213	362
371	214	361
372	214	360
373	215	360
374	215	359
375	216	358
376	216	358
377	217	357
378	217	357
379	218	356
380	218	355
381	219	355
382	219	354
383	220	354
384	221	354
385	222	354
386	223	353
387	223	353
388	224	352
389	224	351
390	225	351
391	226	350
392	226	349
393	227	349
394	227	348
395	228	347
396	228	347
397	229	346
398	229	345
399	230	345
400	230	344
401	231	343
402	231	343
403	232	342
404	232	342
405	233	341
406	233	340
407	234	340
408	234	339
409	235	338
410	235	338
411	236	337
412	237	336
413	237	336
414	238	335
415	238	335
416	239	334
417	239	333
418	240	333
419	240	332
420	241	331
421	241	331
422	242	330
423	242	330
424	243	329
425	243	328
426	244	328
427	245	327
428	245	326
429	246	326
430	246	325
431	247	324
432	247	324
433	248	323
434	248	323
435	249	322
436	249	321
437	250	321
438	250	320
439	251	319
440	251	319
441	252	318
442	252	317
443	253	317
444	253	316
445	254	316
446	255	315
447	255	314
448	256	314
449	256	313
450	257	312
451	257	312
452	258	311
453	258	311
454	259	310
455	259	309
456	260	309
457	260	308
458	261	307
459	261	307
460	262	306
461	262	305
462	263	305
463	263	304
464	264	304
465	264	303
466	265	302
467	265	302
468	266	301
469	267	301
470	267	300
471	268	299
472	268	299
473	269	298
474	269	297
475	270	297
476	270	296
477	271	296
478	271	295
479	272	294
480	272	294
481	273	293
482	273	293
483	274	292
484	274	291
485	275	291
486	275	290
487	276	290
488	276	289
489	277	288
490	278	288
491	278	287
492	279	287
493	279	286
494	280	285
495	280	285
496	281	284
497	281	284
498	282	283
499	283	283
500	283	282
501	284	282
502	285	282
503	286	281
504	287	281
505	287	281
506	288	280
507	289	280
508	289	279
509	290	278
510	290	278
511	291	277
512	291	277
513	292	276
514	292	275
515	293	275
516	294	274
517	294	274
518	295	273
519	295	272
520	296	272
521	296	271
522	297	271
523	297	270
524	298	269
525	298	269
526	299	268
527	299	268
528	300	267
529	301	267
530	301	266
531	302	266
532	302	265
533	303	264
534	304	264
535	304	263
536	305	263
537	305	262
538	306	261
539	306	261
540	307	260
541	307	260
542	308	259
543	308	258
544	309	258
545	309	257
546	310	257
547	310	256
548	311	255
549	312	255
550	313	255
551	314	254
552	315	254
553	315	254
554	316	253
555	317	253
556	318	253
557	319	252
558	320	252
559	320	251
560	321	251
561	321	250
562	322	250
563	322	249
564	323	249
565	323	248
566	324	247
567	325	247
568	325	246
569	326	245
570	326	245
571	327	244
572	327	244
573	328	243
574	328	243
575	329	242
576	329	241
577	330	241
578	330	240
579	331	240
580	332	239
581	332	238
582	333	238
583	333	237
584	334	237
585	334	236
586	335	235
587	335	235
588	336	234
589	336	234
590	337	233
591	337	232
592	338	232
593	339	231
594	339	231
595	340	230
596	340	229
597	341	229
598	341	228
599	342	228
600	342	227
601	343	226
602	343	226
603	344	225
604	344	225
605	345	224
606	346	224
607	346	223
608	347	223
609	347	222
610	348	221
611	349	221
612	350	220
613	350	220
614	351	220
615	352	219
616	352	218
617	353	218
618	353	217
619	354	217
620	354	216
621	355	216
622	356	215
623	356	214
624	357	214
625	357	213
626	358	213
627	358	212
628	359	211
629	359	211
630	360	210
631	361	210
632	361	209
633	362	209
634	362	208
635	363	207
636	363	207
637	364	206
638	364	206
639	365	205
640	365	204
641	366	204
642	367	203
643	367	203
644	368	202
645	368	202
646	369	201
647	369	200
648	370	200
649	370	199
650	371	199
651	371	198
652	372	197
653	372	197
654	373	196
655	373	196
656	374	195
657	375	194
658	375	194
659	376	193
660	376	193
661	377	192
662	377	192
663	378	191
664	378	190
665	379	190
666	380	189
667	380	189
668	381	188
669	381	188
670	382	187
671	382	186
672	383	186
673	383	185
674	384	185
675	384	184
676	385	183
677	386	183
678	386	182
679	387	182
680	387	181
681	388	181
682	388	180
683	389	179
684	389	179
685	390	178
686	391	178
687	391	177
688	392	177
689	392	176
690	393	175
691	393	175
692	394	174
693	395	174
694	395	173
695	396	173
696	396	172
697	397	171
698	397	171
699	398	170
700	398	170
701	399	169
702	400	168
703	400	168
704	401	167
705	401	167
706	402	166
707	402	166
708	403	165
709	403	164
710	404	164
711	404	163
712	405	163
713	405	162
714	406	162
715	406	161
716	407	160
717	408	160
718	408	159
719	409	159
720	409	158
721	410	158
722	410	157
723	411	156
724	412	156
725	412	155
726	413	155
727	413	154
728	414	153
729	414	153
730	415	152
731	415	152
732	416	151
733	416	151
734	417	150
735	417	149
736	418	149
737	419	148
738	419	148
739	420	147
740	420	147
741	421	146
742	421	145
743	422	145
744	423	144
745	424	144
746	425	143
747	425	143
748	426	142
749	426	142
750	427	141
751	427	141
752	428	140
753	429	140
754	430	139
755	430	139
756	431	138
757	431	137
758	432	137
759	432	136
760	433	136
761	433	135
762	434	134
763	434	134
764	435	133
765	436	133
766	436	132
767	437	132
768	437	131
769	438	130
770	438	130
771	439	129
772	439	129
773	440	128
774	441	128
775	441	127
776	442	126
777	442	126
778	443	125
779	443	125
780	444	124
781	444	124
782	445	123
783	446	122
784	446	122
785	447	121
786	447	121
787	448	120
788	448	120
789	449	119
790	449	118
791	450	118
792	451	117
793	451	117
794	452	116
795	452	116
796	453	115
797	453	114
798	454	114
799	454	113
800	455	113
801	455	112
802	456	111
803	456	111
804	457	110
805	458	110
806	458	109
807	459	109
808	459	108
809	460	107
810	460	107
811	461	106
812	461	106
813	462	105
814	463	105
815	463	104
816	464	103
817	464	103
818	465	102
819	467	102
820	468	102
821	468	101
822	469	100
823	470	100
824	470	99
825	471	99
826	472	98
827	473	98
828	474	97
829	475	97
830	475	96
831	476	96
832	476	95
833	477	95
834	477	94
835	478	93
836	479	93
837	479	92
838	480	92
839	480	91
840	481	90
841	481	90
842	482	89
843	483	89
844	483	88
845	484	88
846	484	87
847	485	87
848	486	86
849	486	85
850	487	85
851	487	84
852	488	84
853	488	83
854	489	82
855	489	82
856	490	81
857	490	81
858	491	80
859	491	80
860	492	79
861	492	78
862	493	78
863	494	77
864	494	77
865	495	76
866	496	76
867	496	75
868	497	74
869	497	74
870	498	73
871	498	73
872	499	72
873	499	72
874	500	71
875	500	70
876	501	70
877	502	69
878	502	69
879	503	68
880	503	68
881	504	67
882	504	66
883	505	66
884	505	65
885	506	65
886	506	64
887	507	64
888	508	63
889	508	62
890	509	62
891	510	61
892	510	61
893	511	60
894	512	60
895	513	59
896	514	59
897	514	58
898	515	57
899	516	57
900	517	56
901	517	56
902	518	55
903	518	55
904	519	54
905	519	53
906	520	53
907	520	52
908	521	52
909	521	51
910	522	51
911	523	50
912	523	49
913	524	49
914	524	48
915	525	48
916	525	47
917	526	47
918	526	46
919	527	45
920	527	45
921	528	44
922	528	44
923	529	43
924	530	42
925	530	42
926	531	41
927	531	41
928	532	40
929	532	40
930	533	39
931	533	38
932	534	38
933	535	37
934	535	37
935	536	36
936	536	36
937	537	35
938	537	34
939	538	34
940	538	33
941	539	33
942	539	32
943	540	32
944	541	31
945	541	30
946	542	30
947	542	29
948	543	29
949	543	28
950	544	28
951	545	27
952	545	26
953	546	26
954	546	25
955	547	25
956	547	24
957	548	24
958	548	23
959	549	22
960	549	22
961	550	21
962	551	21
963	552	20
964	553	20
965	554	19
966	554	18
967	555	18
968	556	17
969	557	17
970	558	16
971	558	16
972	559	15
973	559	14
974	560	14
975	561	13
976	561	13
977	562	12
978	562	12
979	563	11
980	563	10
981	564	10
982	564	9
983	565	9
984	565	8
985	566	8
986	567	7
987	567	6
988	568	6
989	568	5
990	569	5
991	569	4
992	570	4
993	570	3
994	571	2
995	571	2
996	572	1
997	573	1
998	573	0
999	574	0
